MolName,Density,SMILES
ACUWUS,1.2337,COc1ccc2c(c1OC)C1C3C(c4ccccc4)=NC(c4ccccc4)(CC23)C1C
ACUXAZ,1.2474,COc1ccc2c(c1OC)CC1CC3(c4ccccc4)CC2C1C(c1ccccc1)=N3
ACUXED,1.2493,COc1ccccc1C1=NC2(c3ccccc3OC)CC3Cc4c(ccc(OC)c4OC)C(C2)C13
ACUYAA,1.2326,CN1c2ccccc2C(C(=O)c2ccccc2)C1c1ccccc1
ACUYEE,1.2923,CC(=O)N1c2ccccc2C(C(=O)c2ccccc2)C1c1ccccc1
ACUYII,1.2481,CN1c2ccc(C#N)cc2C(C(=O)c2ccccc2)C1c1ccccc1
ACUYOO,1.2492,Cc1ccc(C(=O)C2(C(=O)c3ccccc3)c3ccccc3N(C)C2c2ccccc2)cc1
ACXMPR,1.6391,[NH3+]C(C(=O)[O-])C1CC(C(=O)O)NC1=O
ACYGAP,1.3287,CC(=O)OCC1OC(C#N)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O
ACYGLY11,1.4228,CC(=O)NCC(=O)O
ACYHXA01,1.229,[NH3+]C1(C(=O)[O-])CCCCC1
ACYTID,1.4897,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
ADAGAQ,1.3476,COc1ccc(C(=O)N/N=C\c2c3ccccc3cc3ccccc23)cc1
ADAGOC,1.2475,Cc1ccccc1C(=O)N1Cc2ccccc2C(c2ccccc2)C1CO
ADAGUK,1.2995,O=C(NC(Cc1[nH]cc2ccccc12)C(=O)O)OCC1c2ccccc2-c2ccccc21
ADAJOF,1.4833,O=C(NNC(=O)c1cc2ccccc2oc1=O)c1ccccc1O
ADAMEY,1.3552,Cc1c(/N=C/c2ccccc2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C
ADAMIB,1.2565,COc1ccc([N+](=O)[O-])c(C2(C(=O)OC3CCCCC3c3ccccc3)CCN(C)C2)c1
ADANEZ,1.3276,COC(=O)Cc1ccccc1OCc1nc(-c2cccc(OC)c2)no1
ADANID,1.3415,O=C1c2ccccc2C(CCCC2([N+](=O)[O-])c3ccccc3C(=O)c3ccccc32)([N+](=O)[O-])c2ccccc21
ADANIF,1.2983,COc1ccc(-n2c(-c3ccccn3)nnc2-c2nc3ccccc3[nH]2)cc1
ADAPEB,1.3546,CCOC(=O)c1c(C)nn(C(=O)c2c(C)nn(-c3ccccc3)c2N)c1N
ADASAA,1.3906,O=C(Nc1ccccn1)c1ccccc1O
ADAVIL,1.3051,CCOc1ccc(/N=C/C=C/c2ccccc2[N+](=O)[O-])cc1
ADAVUY,1.3559,O=CN1CCC2(C=CC(O)C=C2)c2cc3c(cc2C1)OCO3
ADAWAF,1.2984,CCOC(=O)C1(CC(C)C)NC2c3cc4c(cc3C35CCN(C)C3CC(=O)C1C25)OCO4
ADAWOT,1.2951,COC(=O)c1ccc(NC(=O)C(C)NC(=O)OC(C)(C)C)cc1
ADAWUZ,1.2219,COC(=O)c1ccccc1NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C
ADAXAG,1.1964,COC(=O)C(Cc1ccccc1)NC(=O)c1cccc(NC(=O)OC(C)(C)C)c1
ADAXEJ,1.2515,CCOc1ccc(/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1OC
ADAXIN,1.4089,Cc1cccc(C(=O)Nc2ccccc2NC(=O)c2cccc(C)c2[N+](=O)[O-])c1[N+](=O)[O-]
ADAYOU,1.3105,N#Cc1cccc(C(=O)NC(CO)Cc2ccc(OC(=O)c3cccc(C#N)c3)cc2)c1
ADEDOD,1.2663,O=C1C(Oc2ccccc2)C2c3ccccc3OCc3cccc(c3)COc3ccccc3C3C(Oc4ccccc4)C(=O)N3CCN12
ADEGUM,1.3635,COc1ccc(C(=O)C2=C3NCCCN3C(=O)CC2)cc1
ADEHXL10,1.4699,CC(=O)NC1=CC(C(O)CO)OC1=O
ADEJIC,1.1961,CCC(CO)NC(=O)CO
ADEKOK,1.4683,COC(=O)c1cccc(C(=O)OC)n1
ADEMIH,1.0765,CC(C)(C)OCC1C(O)C2CCCC2(C)N1C(=O)OC(C)(C)C
ADENED,1.2997,COc1cc(C(C)=O)ccc1Oc1ccc(C#N)c(C#N)c1
ADENEE,1.0833,CC(C)(C)OCC1C(O)C2CCCC2(C)N1C(=O)OC(C)(C)C
ADENOS13,1.5323,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
ADENUT,1.3895,O=C1c2ccccc2C2Nc3cccc4cccc(c34)N12
ADEPAB,1.3726,O=C1OC(Nc2ccccc2)c2ccccc21
ADEPEF,1.2027,CC1CCN(C2OC(=O)c3ccccc32)CC1
ADEQIK,1.3628,O=C1c2ccccc2C(CCCCC2([N+](=O)[O-])c3ccccc3C(=O)c3ccccc32)([N+](=O)[O-])c2ccccc21
ADERIL01,1.2501,Cc1ccc(/C(N)=N/O)cc1
ADETUZ,1.2504,CCOC(=O)C1C(=O)N2CCNC2=C(C(=O)c2ccccc2)C1c1ccccc1
ADEWEM,1.5478,C/C(=N\Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccccc1
ADEWOW,1.5514,O=C(N/N=C/c1cc([N+](=O)[O-])ccc1O)c1ccccc1O
ADEZUF,1.4444,O=[N+]([O-])C(CO)CO
ADHELA10,1.4499,CC(=O)NC1=CC(C(O)CO)OC1=O
ADIBEW,1.2485,COC(=O)C1(C(=O)OC)Cc2c(c(C)n(-c3ccccc3OC)c(=O)c2C)C1
ADICUM,1.3157,COc1cc2c(cc1OC)CN(Cc1c(-c3ccccc3)[n-]o[n+]1=O)CC2
ADIDUN,1.419,CCc1nn(C)c(C(=O)n2cnc3ccccc32)c1[N+](=O)[O-]
ADIGOK,1.2719,CC1CC(=O)NN=C1c1ccc(N)cc1
ADIHUT,1.2606,CN1c2ccccc2C2(C)C(=O)c3cccn3C12
ADIJOM,1.1651,CC12CC(C)(CC(C)(C(=O)OCCC3CCCCC3)C1)C(=O)NC2=O
ADIKAZ,1.1838,CC12CC(C)(CC(C)(C(=O)OCC3CCCCC3)C1)C(=O)NC2=O
ADIMIK,1.2712,CC1C(=O)N/C(=C\N(C)C)C(=O)N1Cc1ccccc1
ADINAE,1.2858,C/C(=C/OC(=O)c1ccc([N+](=O)[O-])cc1)CC(C)/C=C/C(=O)N1C(=O)OCC1Cc1ccccc1
ADIPAM10,1.3531,NC(=O)CCCCC(N)=O
ADIRAH,1.31,Cc1ccc2c(c1)-n1nc(C)nc1CC(c1ccccc1)O2
ADIREL,1.17,Cc1ccc(O)c(-n2nc(Cc3ccccc3)nc2/C=C/c2ccccc2)c1
ADISAI,1.2325,CN1c2ccccc2C(C)(C)C12Oc1ccccc1-c1ccccc12
ADISEM,1.2471,CN1c2ccccc2C(C)(C)C12Oc1ccc3ccccc3c1-c1c2ccc2ccccc12
ADIVUF,1.4678,COc1cc2nc3nc(C#N)c(C#N)nc3nc2cc1OC
ADOBOM,1.4148,N#CC1=C(N)Oc2ccccc2C1C(C#N)C#N
ADODAZ,1.2786,O=C1/C(=C/N2CCN(Cc3ccccc3)CC2)Oc2ccccc21
ADODIH,1.3921,Cn1c(=O)c2c(nc3n2CCCN3Cc2ccco2)n(C)c1=O
ADOGEG01,1.4298,O=c1ccc2c([nH]1)-c1ncccc1C2
ADOJEI01,1.243,CC(=N\O)/C(C)=N/Cc1ccccn1
ADOJUY,1.2607,COc1ccc(C2=CCCC/C2=N\O)cc1
ADOKAF,1.2252,O/N=C1\CCCC=C1c1ccccc1
ADOKEJ,1.1803,Cc1ccc(C2=CCCC/C2=N\O)cc1C
ADOLEK,1.3922,O=[N+]([O-])c1ccc(NN=C2CCCCCCC2)c([N+](=O)[O-])c1
ADOMAK,1.419,O=C(c1ccccc1)N1CCc2cc([N+](=O)[O-])ccc21
ADOMIP,1.1543,CN1CC2CN3CCCCC3C(C1)C2O
ADOTUJ,1.2913,Cc1ccc(/N=N/C2=C(Nc3ccccc3)CCC2=O)cc1
ADOVAQ,1.3787,O=C(CN1C(=O)C2CCC1C13C(=O)C4C5CC6C4C(O)C21C6C53)OCc1ccccc1
ADOZIC,1.2652,CCC(C)C1NC(=O)Cc2c(OC)ccc3c2Oc2c(ccc(OC)c2CNC(=O)C(C)NC1=O)C3(C)C
ADPRLA,1.615,O=C1CCn2cnc3ncnc(c32)N1
ADPROP,1.4587,NC(=O)CCn1cnc2c(N)ncnc21
ADPRTR,1.3496,Nc1ncnc2c1ncn2CCC(=O)NCCc1c[nH]c2ccccc12
ADRENL,1.3292,C[NH2+]CC(O)C1=CC(=O)C(=[OH+])C=C1
ADSEBU,1.2773,O=C1CC2CCCN3CCc4c(n1c1ccccc41)C23
ADUCOU,1.245,C=C(c1ccccc1)C1(C)C(C(C)C)OC(=O)N1c1ccc(OC)cc1
ADUFEM,1.3115,Cc1c(NCC(=O)Nc2cccc3cccnc23)c(=O)n(-c2ccccc2)n1C
ADUHIQ,1.2495,COC(=O)C1(NC(=O)OC(C)(C)C)CCc2cccc(O)c2C1
ADUJOY,1.2816,C=Cc1cc2c(c(CN3C(=O)c4ccccc4C3=O)c1OC)Oc1c(ccc(OC)c1CC(=O)OC)C2(C)C
ADULOA,1.2404,N#C/C(=C(/CO)c1ccccc1)C(O)c1ccccc1
ADUNUI,1.2988,Cn1c(=O)c2ccc(cc2)n(C)c(=O)c2ccc(cc2)n(C)c(=O)c2ccc1cc2
